開獎日期,獎號1,獎號2,獎號3,獎號4,獎號5
2025,"02/                                                                                                                                 
        11",39,10,18,19
2025,"02/                                                                                                                                 
        12",40,02,06,19
2025,"02/                                                                                                                                 
        13",41,02,07,11
2025,"02/                                                                                                                                 
        14",42,11,17,29
2025,"02/                                                                                                                                 
        15",43,06,08,10
2025,"02/                                                                                                                                 
        17",44,09,15,29
2025,"02/                                                                                                                                 
        18",45,10,12,13
2025,"02/                                                                                                                                 
        19",46,03,27,28
2025,"02/                                                                                                                                 
        20",47,03,07,17
2025,"02/                                                                                                                                 
        21",48,11,13,18
2025,"02/                                                                                                                                 
        22",49,04,07,11
2025,"02/                                                                                                                                 
        24",50,08,17,18
2025,"02/                                                                                                                                 
        25",51,05,11,26
2025,"02/                                                                                                                                 
        26",52,03,11,24
2025,"02/                                                                                                                                 
        27",53,11,12,20
2025,"02/                                                                                                                                 
        28",54,05,27,31
2025,"03/                                                                                                                                 
        01",55,04,16,29
2025,"03/                                                                                                                                 
        03",56,08,09,12
2025,"03/                                                                                                                                 
        04",57,11,18,21
2025,"03/                                                                                                                                 
        05",58,15,23,29
2025,"03/                                                                                                                                 
        06",59,08,12,15
2025,"03/                                                                                                                                 
        07",60,09,10,19
2025,"03/                                                                                                                                 
        08",61,17,23,24
2025,"03/                                                                                                                                 
        10",62,02,04,07
2025,"03/                                                                                                                                 
        11",63,02,21,24
2025,"03/                                                                                                                                 
        12",64,06,14,27
2025,"03/                                                                                                                                 
        13",65,03,04,07
2025,"03/                                                                                                                                 
        14",66,06,08,18
2025,"03/                                                                                                                                 
        15",67,08,15,25
2025,"03/                                                                                                                                 
        17",68,07,11,13
2025,"03/                                                                                                                                 
        18",69,03,13,15
2025,"03/                                                                                                                                 
        19",70,11,15,25
2025,"03/                                                                                                                                 
        20",71,02,16,17
2025,"03/                                                                                                                                 
        21",72,05,09,15
2025,"03/                                                                                                                                 
        22",73,05,13,16
2025,"03/                                                                                                                                 
        24",74,07,25,32
2025,"03/                                                                                                                                 
        25",75,04,20,24
2025,"03/                                                                                                                                 
        26",76,01,10,12
2025,"03/                                                                                                                                 
        27",77,05,25,33
2025,"03/                                                                                                                                 
        28",78,13,24,25
2025,"03/                                                                                                                                 
        29",79,04,09,12
2025,"03/                                                                                                                                 
        31",80,07,10,13
2025,"04/                                                                                                                                 
        01",81,05,13,17
2025,"04/                                                                                                                                 
        02",82,04,08,29
2025,"04/                                                                                                                                 
        03",83,05,16,23
2025,"04/                                                                                                                                 
        04",84,03,06,07
2025,"04/                                                                                                                                 
        05",85,12,13,14
2025,"04/                                                                                                                                 
        07",86,01,06,19
2025,"04/                                                                                                                                 
        08",87,06,17,18
2025,"04/                                                                                                                                 
        09",88,04,06,14
2025,"04/                                                                                                                                 
        10",89,14,19,22
2025,"04/                                                                                                                                 
        11",90,15,17,26
2025,"04/                                                                                                                                 
        12",91,09,11,15
2025,"04/                                                                                                                                 
        14",92,09,10,22
2025,"04/                                                                                                                                 
        15",93,02,03,16
2025,"04/                                                                                                                                 
        16",94,07,22,25
2025,"04/                                                                                                                                 
        17",95,03,06,23
2025,"04/                                                                                                                                 
        18",96,07,24,28
2025,"04/                                                                                                                                 
        19",97,14,19,21
2025,"04/                                                                                                                                 
        21",98,02,06,12
2025,"04/                                                                                                                                 
        22",99,08,19,23
2025,"04/                                                                                                                                 
        23",100,01,16,19
2025,"04/                                                                                                                                 
        24",101,04,06,25
2025,"04/                                                                                                                                 
        25",102,01,05,24
2025,"04/                                                                                                                                 
        26",103,20,23,32
2025,"04/                                                                                                                                 
        28",104,06,12,17
2025,"04/                                                                                                                                 
        29",105,01,07,13
2025,"04/                                                                                                                                 
        30",106,22,26,30
2025,"05/                                                                                                                                 
        01",107,08,19,25
2025,"05/                                                                                                                                 
        02",108,05,12,20
2025,"05/                                                                                                                                 
        03",109,01,10,19
2025,"05/                                                                                                                                 
        05",110,04,05,08
2025,"05/                                                                                                                                 
        06",111,06,11,18
2025,"05/                                                                                                                                 
        07",112,07,09,21
2025,"05/                                                                                                                                 
        08",113,07,10,26
2025,"05/                                                                                                                                 
        09",114,04,11,19
2025,"05/                                                                                                                                 
        10",115,06,09,20
2025,"05/                                                                                                                                 
        12",116,08,10,26
2025,"05/                                                                                                                                 
        13",117,04,10,20
2025,"05/                                                                                                                                 
        14",118,01,14,18
2025,"05/                                                                                                                                 
        15",119,02,04,15
2025,"05/                                                                                                                                 
        16",120,02,13,24
2025,"05/                                                                                                                                 
        17",121,03,09,24
2025,"05/                                                                                                                                 
        19",122,04,07,14
2025,"05/                                                                                                                                 
        20",123,10,22,23
2025,"05/                                                                                                                                 
        21",124,10,16,31
2025,"05/                                                                                                                                 
        22",125,01,08,17
2025,"05/                                                                                                                                 
        23",126,13,16,24
2025,"05/                                                                                                                                 
        24",127,14,18,29
2025,"05/                                                                                                                                 
        26",128,08,15,21
2025,"05/                                                                                                                                 
        27",129,04,08,23
2025,"05/                                                                                                                                 
        28",130,09,13,15
2025,"05/                                                                                                                                 
        29",131,04,18,28
2025,"05/                                                                                                                                 
        30",132,14,20,21
2025,"05/                                                                                                                                 
        31",133,14,18,20
2025,"06/                                                                                                                                 
        02",134,02,07,11
2025,"06/                                                                                                                                 
        03",135,07,20,21
2025,"06/                                                                                                                                 
        04",136,20,30,33
2025,"06/                                                                                                                                 
        05",137,07,14,19
2025,"06/                                                                                                                                 
        06",138,02,12,14
2025,"06/                                                                                                                                 
        07",139,04,16,22
2025,"06/                                                                                                                                 
        09",140,08,20,27
2025,"06/                                                                                                                                 
        10",141,07,12,16
2025,"06/                                                                                                                                 
        11",142,04,17,19
2025,"06/                                                                                                                                 
        12",143,11,14,15
2025,"06/                                                                                                                                 
        13",144,04,05,10
2025,"06/                                                                                                                                 
        14",145,02,15,17
2025,"06/                                                                                                                                 
        16",146,06,08,09
2025,"06/                                                                                                                                 
        17",147,02,12,14
2025,"06/                                                                                                                                 
        18",148,07,12,23
2025,"06/                                                                                                                                 
        19",149,12,14,15
2025,"06/                                                                                                                                 
        20",150,02,05,08
2025,"06/                                                                                                                                 
        21",151,03,08,15
2025,"06/                                                                                                                                 
        23",152,03,14,22
2025,"06/                                                                                                                                 
        24",153,01,10,12
2025,"06/                                                                                                                                 
        25",154,02,11,28
2025,"06/                                                                                                                                 
        26",155,01,06,13
2025,"06/                                                                                                                                 
        27",156,03,04,10
2025,"06/                                                                                                                                 
        28",157,12,22,29
2025,"06/                                                                                                                                 
        30",158,07,08,11
2025,"07/                                                                                                                                 
        01",159,06,08,11
2025,"07/                                                                                                                                 
        02",160,06,13,21
2025,"07/                                                                                                                                 
        03",161,10,21,22
2025,"07/                                                                                                                                 
        04",162,05,24,31
2025,"07/                                                                                                                                 
        05",163,08,14,22
2025,"07/                                                                                                                                 
        07",164,14,25,27
2025,"07/                                                                                                                                 
        08",165,03,04,24
2025,"07/                                                                                                                                 
        09",166,13,18,27
2025,"07/                                                                                                                                 
        10",167,02,03,04
2025,"07/                                                                                                                                 
        11",168,09,26,37
2025,"07/                                                                                                                                 
        12",169,03,19,20
2025,"07/                                                                                                                                 
        14",170,08,11,12
2025,"07/                                                                                                                                 
        15",171,09,16,21
2025,"07/                                                                                                                                 
        16",171,15,18,24
2025,"07/                                                                                                                                 
        17",172,04,06,11
